algoritmo,mae,rsd,lsd,mbre,mmer,sa
ABE,503.3507692307692,13.480584872960094,1.048273627242149,2.030769214330864,1.0666734844327483,0.4966492307692307
Adaboost,370.3697174137925,29.32186938097217,0.943576087310782,1.7789610066572874,0.6787714348004782,0.6296302825862076
ANN,364.0962527645286,13.525289992219705,0.9255422389411784,1.4763255451789816,0.8602933337450934,0.6359037472354714
Bagging,386.2087912087912,25.22448461520218,1.0219061319937388,1.5797396389386111,0.9794241923487932,0.6137912087912087
CART,409.5164835164835,20.74407070788738,1.0204826696465823,1.5517589364688773,0.8746985957495915,0.5904835164835165
Deep,629.2746226164011,14.104296739454083,4.42434860571617,76.25212024737812,76.25212024737812,0.3707253773835989
GBM,417.0256227384591,45.3899122738967,1.126845681606511,3.533470332528248,0.6444771823210528,0.582974377261541
LARS,436.50629720609,23.938875776063902,1.016296882269856,2.5145867551383416,0.7661898299643429,0.56349370279391
ElasticNET,406.82451844528725,19.08491733765931,0.9240079797672456,2.07679449194656,0.6470366126855919,0.5931754815547128
LASSO,465.1757078099543,55.18097089826143,0.8600527750350812,1.232835212068569,0.2088827934280237,0.5348242921900457
OLS,472.20503310071393,57.26249303672174,0.911604537823757,1.406422787404744,0.341001876504278,0.5277949668992861
RF,332.9156532803686,33.25826251240846,0.7885669780476663,1.415383647342039,0.4409635910378275,0.6670843467196315
Ridge,366.59857720139786,22.650963180799938,0.7545343252510276,0.6753314050873249,-0.0668601151983775,0.6334014227986021
SVR,549.6602446267103,38.73392860144734,1.776346514049638,4.253382400383431,2.0167542985841793,0.45033975537328963
