algoritmo,mae,rsd,lsd,mbre,mmer,sa
ABE,2388.2839506172845,9.72981288729904,0.6485234228116463,0.8395703018989521,0.4618103350963548,-1.3882839506172844
Adaboost,2233.167957462709,9.212621608555851,0.613266916109039,0.7551703696686707,0.4419221787838912,-1.233167957462709
ANN,2254.4052641568733,9.752919511815106,0.6839722027245799,0.7669497252224604,0.5591846657181195,-1.2544052641568737
Bagging,2174.687654320988,8.279341571216943,0.5286682555650142,0.6398197855093722,0.3835476812134193,-1.1746876543209877
CART,2430.1975308641977,10.781391221354475,0.6826404717362206,0.8426031205064696,0.5503428802637712,-1.4301975308641977
Deep,4995.594918156848,19.61750413494988,4.846247115217152,113.54547805762331,113.54547805762331,-3.995594918156848
ElasticNET,2080.051536146352,8.601691835547115,0.5633278374508425,0.6696899999365226,0.447935946475865,-1.080051536146352
GBM,2303.596951341247,11.792238529931211,0.6432052413587819,0.896156055536207,0.4352186248458246,-1.3035969513412469
LARS,2120.3259469698974,8.859889799517438,0.6070002391093842,0.7645685696569287,0.3847637057312663,-1.1203259469698974
LASSO,2102.102504562735,9.703261136561188,0.8810379271344863,1.9833922724109248,1.7849474353756545,-1.1021025045627346
OLS,2102.144354726252,9.704740022346966,0.8932912236253057,2.1600674077302773,1.9616094328458944,-1.102144354726252
