algoritmo,mae,rsd,lsd,mbre,mmer,sa
ABE,13.0075,12.92673444193781,0.971877323556643,1.3272992611672072,0.8091576181157082,0.9869925
Adaboost,10.564931307118806,8.84370356758986,0.8196199930328233,1.1261357176664328,0.6013640016922707,0.9894350686928812
ANN,34.05201360487777,11.806325411056152,1.255877369278126,4.553735111751164,0.9100878332872188,0.9659479863951222
Bagging,10.83,10.406515019808236,0.8059923144190767,1.0746653746694417,0.605248496804891,0.98917
CART,7.358333333333332,0.4536910856377938,0.8979488180048414,1.2606019912518025,0.8100072669011181,0.9926416666666666
Deep,16.715411315625534,16.338631101426557,2.7853808719071926,16.7875619631305,16.750884497079618,0.9832845886843744
ElasticNET,6.824777178073352,3.7783706801254775,0.8092211652359724,1.0306868264532187,0.5522003176100957,0.9931752228219266
LARS,21.16494569216012,14.943384434487012,1.26061520412662,-1.1257044642112444,-4.079096039745531,0.97883505430784
LASSO,6.8397119847005,3.817361941898771,0.8076549000026086,1.0289333994882213,0.548998677795321,0.9931602880152997
OLS,6.989703284002322,4.114976614781902,0.6111436582854889,0.7107656701542459,0.4764381907975989,0.9930102967159976
Ridge,6.79176074839652,3.8202548791016167,0.783282967800998,0.9835554409948084,0.5258150541443732,0.9932082392516036
SVR,14.451411481664698,14.883307269879934,1.277031777462679,2.101213719510327,1.253050176980592,0.9855485885183353
