algoritmo,mae,rsd,lsd,mbre,mmer,sa
ABE,0.1021597842105262,0.0253963041759306,0.0197601366170177,0.0132221853657626,0.0130101378387613,0.9998978402157894
Adaboost,0.1420281939849623,0.0297037658320106,0.0228889342287529,0.0179248217411677,0.0176725107570952,0.999857971806015
ANN,217.77175973315968,28.85183960598105,2.8840987119676584,24.312057438966903,0.93448245481173,0.7822282402668403
Bagging,0.1061009947368422,0.0226844870874083,0.0175736562764703,0.013203775555821,0.0130488879210194,0.9998938990052632
CART,0.1039181052631578,0.0239143410462664,0.0237896698600429,0.013867538598648,0.0135748048994774,0.9998960818947368
Deep,6.791762268642464,1.6656422216981346,2.309074004652152,8.093897385548187,8.0370424850273,0.9932082377313576
ElasticNet,0.3391936719390105,0.0558803628538403,0.0541882317765386,0.043252785983755,0.0412840125391522,0.999660806328061
GBM,0.3775579179878284,0.0770684077859107,0.0583615893272075,0.0482794303432723,0.0459564157565911,0.999622442082012
LARS,0.4491109151907234,0.0936237007390949,0.0707369745666732,0.0579902279373613,0.0545099656767589,0.9995508890848092
LASSO,0.4056593077961978,0.0841238940378501,0.0630260305298215,0.0517648412497425,0.0491583415115397,0.9995943406922038
OLS,0.259864663067989,0.0582165948277504,0.0441886108612384,0.0333248389800778,0.032063516574882,0.999740135336932
Ridge,0.25363354622829554,0.054698724769559746,0.04282484029294379,0.03218625896913893,0.03094384625099283,0.9997463664537717
