algoritmo,mae,rsd,lsd,mbre,mmer,sa
ABE,3730.161290322581,8.30703162893002,0.5830636490112592,0.7299369400602911,0.4878582564062808,0.5708551318372486
Adaboost,3393.1072904412003,10.209909673947196,0.5753112774801001,0.7161715783451706,0.4398584130937048,0.6072240249352368
ANN,5262.152365648292,12.603753932276474,1.2024874553676732,1.8463237151859768,1.8455104637828543,0.3863230204615535
Bagging,3524.8580645161287,7.959770643641861,0.5167473376910339,0.6232509702832977,0.3774488811958136,0.5920303668720053
CART,6064.290322580645,12.266650290396916,0.7915654230781362,1.1251101681044395,0.6397850789563413,0.297606152260662
Deep,8168.025817240438,16.56966953190433,5.231087586945603,170.71694001610302,170.71694001610302,0.0595760020157147
ElasticNet,3358.6735102495004,10.248637998467997,2.7540900173433704,755322580645.7313,755322580645.5266,0.6161021032443139
GBM,4249.785479244144,20.360156415780864,0.741630055155971,1.212678842953439,0.4787587124458983,0.5061364542535239
LARS,3998.52478513663,9.201345251902824,0.6219741278874408,0.8224024284330776,0.5533726998557336,0.5391040992354778
LASSO,4053.078911425024,11.104054332964324,69.3988862223013,3233870967743.031,3233870967742.911,0.5313664396787036
OLS,4059.9978645946426,11.152040723964186,69.39592426488778,3233870967743.092,3233870967742.9707,0.5296869656026466
