algoritmo,mae,rsd,lsd,mbre,mmer,sa
ABE,580.0069841269842,10.17280468810502,1.1971171196857744,2.324711534785933,1.097352006515094,0.4199930158730157
Adaboost,530.8880470362438,16.581338668946643,1.406267426480192,3.648231008780992,1.197423644086773,0.4691119529637562
ANN,459.3935654331452,12.571511539411972,1.1649548151638218,2.890863724559867,0.9067255736970112,0.5406064345668549
Bagging,531.9869841269841,13.346354860298623,0.9404110263039428,1.8150792821111568,0.7303727635131764,0.4680130158730159
CART,646.815873015873,10.685256447836682,1.5192144248556447,2.537008492747283,1.866620115974704,0.353184126984127
Deep,679.8613692117116,11.945058486622088,5.19455862818245,136.9069581360281,136.9069581360281,0.3201386307882884
ElasticNET,600.0500864538882,22.1318063188634,1.22477853857183,4.481923088827418,0.7724003862035677,0.3999499135461118
GBM,691.0081402330779,43.8582272818772,1.521967660111711,8.986764456329116,1.021514295933963,0.3089918597669221
LARS,617.0367962513506,21.93701003638828,1.291685260285519,5.3759100992008895,0.8120019159411817,0.3829632037486494
LASSO,952.2580180347168,122.32308343329782,1.500937381508019,5.889462919924164,-0.0319979775135365,0.0477419819652831
OLS,958.4834269246676,123.26212988415207,1.5060016714329612,5.974184145282939,-0.0179581587564722,0.0415165730753325
RF,591.0387441980256,14.476111925072454,0.986088834997554,2.340717129536056,0.7411431588406191,0.4089612558019744
Ridge,644.088322205139,64.28498945502761,1.2207574799938703,3.560474004944712,0.22344025547317317,0.355911677794861
