algoritmo,mae,rsd,lsd,mbre,mmer,sa
ABE,421.9135483870968,18.32116026994736,0.954406351758754,1.6685400209556525,0.6433195052726968,0.5780864516129033
Adaboost,343.3650792963552,28.408773546565488,0.9399198238243588,1.7953250084104668,0.6358380042464558,0.6566349207036449
ANN,401.6034306307901,37.59806038705839,0.9802928664972876,2.6581333191312764,0.6403651577879088,0.5983965693692099
Bagging,396.12043010752683,20.407627832361314,1.0697490366850757,1.56959700782808,1.0631887181966808,0.6038795698924732
