algoritmo,mae,rsd,lsd,mbre,mmer,sa
OLS,993.0062132926324,116.35629909951835,1.340105915673809,7.9146096947016265,0.12195356113899285,0.006993786707367611
Ridge,634.8704864390653,50.262368492080725,1.2563151545880376,3.9724374179209128,0.7543392019681775,0.3651295135609347
LASSO,987.8446941240719,115.54097290179199,1.338064329700157,7.837690904707043,0.12113729448558992,0.012155305875927835
Adaboost,543.4322151245849,17.457248590065724,1.3898342483590054,3.89054649424438,1.2222081499204691,0.4565677848754151
ANN,460.33057747208875,12.450061601818295,1.1880648551071586,2.8565770732642752,0.9142149242151232,0.5396694225279112
Deep,679.2927464253372,11.940112689376507,13.156578626083947,136.3598111143773,136.3598111143773,0.3207072535746628
Bagging,553.689523809524,11.120708091920124,1.0287872431244085,1.8097072775961047,0.8465914309647875,0.44631047619047604
GBM,681.020048657089,42.4383122791324,1.5115157224706313,8.841832495630506,0.9600932464439677,0.318979951342911
RF,575.966296377919,11.100903523568403,1.0687582788200192,2.102254644894826,0.7492991679539986,0.4240337036220809
ABE,577.8355555555555,10.163396428810023,1.154159430140711,2.3117922614487147,1.1084977227819859,0.4221644444444445
ElasticNET,611.0578445415572,21.52604426319585,1.2108240162980675,4.875293592424304,0.7973264922263792,0.3889421554584428
