algoritmo,mae,rsd,lsd,mbre,mmer,sa
OLS,6.989703284002294,4.1149766147818765,0.6111436582854862,0.7107656701542417,0.4764381907975927,0.9930102967159976
ABE,13.0075,12.92673444193781,0.971877323556643,1.3272992611672072,0.8091576181157082,0.9869925
Adaboost,10.564931307118806,8.84370356758986,0.8196199930328233,1.1261357176664328,0.6013640016922707,0.9894350686928812
ANN,34.05201360487778,11.806325411056152,1.255877369278126,4.553735111751164,0.9100878332872188,0.9659479863951222
Bagging,10.83,10.406515019808236,0.8059923144190767,1.0746653746694417,0.605248496804891,0.9891700000000001
CART,10.804166666666667,6.882346987377522,0.7899376050262117,1.1241278232349046,0.5773625712573663,0.9891958333333334
ElasticNET,6.824777178073353,3.7783706801254775,0.8092211652359722,1.0306868264532183,0.5522003176100954,0.9931752228219266
GBM,10.584603782225974,7.565467949399013,0.8759416577878323,1.92311004245784,0.4768375471427421,0.989415396217774
LARS,21.16494569216012,14.943384434487012,1.26061520412662,-1.1257044642112444,-4.079096039745531,0.97883505430784
LASSO,6.839711984700501,3.8173619418987714,0.8076549000026091,1.0289333994882215,0.5489986777953212,0.9931602880152997
RF,9.80937851881914,7.76472436859923,0.7264264199102541,1.0590884714921285,0.4818382892240766,0.9901906214811808
