algoritmo,mae,rsd,lsd,mbre,mmer,sa
ABE,161.83693333333338,118.58573179030935,1.2431806813792916,2.3523845808065165,1.30148793875602,0.8381630666666666
Adaboost,135.87830158730156,114.38274681777186,1.0444674778754437,1.5527396676539205,0.927331814118315,0.8641216984126985
ANN,342.8544164140146,0.21586479606850134,1.8748131844637483,-18.862791360653087,-19.346232767239908,0.6571455835859854
Bagging,154.45026666666664,112.74979473417402,1.2774296090821686,2.644124697246402,0.9077315589542941,0.8455497333333334
